,Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated,Unnamed: 9,Unnamed: 10
0,Timm Giesbers,"Hey ihr Lieben! <br>Als Info vorab: Ich habe mich mit Marcel-Jana darauf verständigt, dass wenn es nicht anders möglich ist, ich das Pronomen &quot;er&quot; für den Film nutzen kann - auch weil unsere Sprache noch keine pronomenlose Form entwickelt hat. <br><br>Für mich bleibt bis heute vollkommen unverständlich, wieso es Menschen wie Marcel-Jana so schwer gemacht wird, ihre eigene Identität auch selbst zu bestimmen. Gutachten, Anträge, monatelanges Warten und hohe Kosten - nur damit sie offiziell sein können, wer sie sind. Und dabei stelle ich mir die Frage: Wer sonst soll eigentlich beurteilen können, wie man sich selbst fühlt, wie man sich sieht?  Ich würde mir wünschen, dass die Verfahren einfacher werden - auch damit sie die Würde von trans- und nicht-binären Personen besser achten.  <br>Was denkt ihr darüber?",2021-02-10T15:30:51Z,1071.0,157.0,,,,,,ZhsEhgwkAKc
1,,"Also dey, xier, ...",,,,xx x,"Also dey, xier, ...",2021-02-11T10:22:30Z,2021-02-11T10:22:30Z,,
2,,@Maus201 Solch &quot;idiologischen Sprachhardcoretypen&quot; die ggf. daran glauben das Wirklichkeit durch Sprache/Sprechakt konstruiert wird darfst du nicht mit grammatikalischer Logik kommen die hunderte/tausende von Jahren zivilisatorisch &quot;normalen&quot; Zusammenlebens  entsprungen sind!,,,,Mario Krude,@Maus201 Solch &quot;idiologischen Sprachhardcoretypen&quot; die ggf. daran glauben das Wirklichkeit durch Sprache/Sprechakt konstruiert wird darfst du nicht mit grammatikalischer Logik kommen die hunderte/tausende von Jahren zivilisatorisch &quot;normalen&quot; Zusammenlebens  entsprungen sind!,2021-02-11T10:36:01Z,2021-02-11T10:36:01Z,,
3,,@piiinkDeluxe Was konkret hat das mit dem Thema zu tun? Marcel-Jana plant nicht an Olympia teilzunehmen.,,,,Timm Giesbers,@piiinkDeluxe Was konkret hat das mit dem Thema zu tun? Marcel-Jana plant nicht an Olympia teilzunehmen.,2021-02-11T11:38:33Z,2021-02-11T11:38:33Z,,
4,,"@Kjartan Ragnarson Weil ich seine Existenz nicht in Frage stelle? Das ist nicht kritisch, sondern menschenfeindlich.",,,,Timm Giesbers,"@Kjartan Ragnarson Weil ich seine Existenz nicht in Frage stelle? Das ist nicht kritisch, sondern menschenfeindlich.",2021-02-11T11:39:04Z,2021-02-11T11:39:04Z,,
5,,@Maus201 Fakt ist: Marcel-Jana möchte sich nicht mit &quot;es&quot; identifizieren und das kann man doch einfach akzeptieren?,,,,Timm Giesbers,@Maus201 Fakt ist: Marcel-Jana möchte sich nicht mit &quot;es&quot; identifizieren und das kann man doch einfach akzeptieren?,2021-02-11T11:40:39Z,2021-02-11T11:40:39Z,,
6,,"@Timm Giesbers Natürlich. Darum ging es aber grade gar nicht. Sondern um die Aussage, dass mit &quot;es&quot; nur Sachen bezeichnet werden. Was halt nicht stimmt. Ganz unabhängig davon, ob Marcel-Jana jetzt damit angesprochen werden will oder nicht.",,,,Maus201,"@Timm Giesbers Natürlich. Darum ging es aber grade gar nicht. Sondern um die Aussage, dass mit &quot;es&quot; nur Sachen bezeichnet werden. Was halt nicht stimmt. Ganz unabhängig davon, ob Marcel-Jana jetzt damit angesprochen werden will oder nicht.",2021-02-11T12:22:19Z,2021-02-11T12:22:19Z,,
7,,"Bis zu dem wideo dachte ich es wäre gar nicht möglich für transmenschen ein X in den Ausweis zu bekommen. Ich bin gerade sehr froh das es überhaupt die möglichkeit giebt, auch wenn der weg dahin so krass anstrengend und entwürdigend ist. Danke für deine lange Recherche und dieses Reportage. Das giebt mir echt Hoffnung.",,,,Elija Butterfly,"Bis zu dem wideo dachte ich es wäre gar nicht möglich für transmenschen ein X in den Ausweis zu bekommen. Ich bin gerade sehr froh das es überhaupt die möglichkeit giebt, auch wenn der weg dahin so krass anstrengend und entwürdigend ist. Danke für deine lange Recherche und dieses Reportage. Das giebt mir echt Hoffnung.",2021-02-11T20:44:26Z,2021-02-11T20:44:26Z,,
8,,"Biologisch gibt es nur zwei Geschlechter und intersexuelle Menschen. Das ist ein biologischer Fakt, den man nicht dekonstruieren kann und genau darauf bezieht sich in der Regel auch die Angabe bezüglich des Geschlechts im Ausweis. Tatsächlich ist das beispielsweise in der Medizin sogar sehr wichtig zu wissen, um welches biologische Geschlecht es sich handelt. Das Geschlecht kann man sich demnach nicht aussuchen, man hat es, genau wie Körpergröße und Augenfarbe, einfach zu akzeptieren.<br>Marcel Jana kann leben wie er möchte, aber dass er verlangt, in amtlichen Dokumenten geschlechtslos zu sein, obwohl er offensichtlich männlich ist, finde ich übertrieben und falsch. Dabei ist es egal, wie er sich fühlt. Wenn ich mich nicht wie 1,88 m fühle, obwohl ich es bin, kann ich diese Angabe auch nicht im Ausweis streichen lassen. Das habe ich auch an mir zu akzeptieren.<br><br>...und die Sache mit den Pronomen finde ich auch befremdlich. Ich spreche niemanden mit ,,es&#39;&#39; an.",,,,L X,"Biologisch gibt es nur zwei Geschlechter und intersexuelle Menschen. Das ist ein biologischer Fakt, den man nicht dekonstruieren kann und genau darauf bezieht sich in der Regel auch die Angabe bezüglich des Geschlechts im Ausweis. Tatsächlich ist das beispielsweise in der Medizin sogar sehr wichtig zu wissen, um welches biologische Geschlecht es sich handelt. Das Geschlecht kann man sich demnach nicht aussuchen, man hat es, genau wie Körpergröße und Augenfarbe, einfach zu akzeptieren.<br>Marcel Jana kann leben wie er möchte, aber dass er verlangt, in amtlichen Dokumenten geschlechtslos zu sein, obwohl er offensichtlich männlich ist, finde ich übertrieben und falsch. Dabei ist es egal, wie er sich fühlt. Wenn ich mich nicht wie 1,88 m fühle, obwohl ich es bin, kann ich diese Angabe auch nicht im Ausweis streichen lassen. Das habe ich auch an mir zu akzeptieren.<br><br>...und die Sache mit den Pronomen finde ich auch befremdlich. Ich spreche niemanden mit ,,es&#39;&#39; an.",2021-02-11T21:24:55Z,2021-02-11T21:24:55Z,,
9,,"In welcher Situation, kann mensch nicht auf Pronomen verzichten? Vorname geht immer.",,,,Paul,"In welcher Situation, kann mensch nicht auf Pronomen verzichten? Vorname geht immer.",2021-02-11T22:28:03Z,2021-02-11T22:28:03Z,,
