,Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated,Unnamed: 9
0,Hanna Engel,"Liebe Leute, Toleranz tut doch nicht weh! Ihr müsst ja nicht verstehen, wie nicht-binäre Menschen sich fühlen aber deshalb kann man sich doch trotzdem lieb haben.<br>Das Bundesverfassungsgericht hat übrigens kürzlich die Einführung eines dritten Geschlechts gefordert, weil die Einteilung in männlich und weiblich nicht mehr mit der Verfassung und den vielen veschiedenen Identitäten vereinbar ist. Ihr seht also, die Gesellschaft ist wandelbar, genau so wie dieses Jahr die Ehe für alle geöffnet wurde. Das wäre vor 20 Jahren auch undenkbar gewesen. Früher hat man über Homosexualität genau das gleiche gesagt wie heute über nicht-binäre Menschen.<br>Es braucht einfach mutige Menschen, die darüber reden, und uns dazu auffordern zu hinterfragen und uns schlussendlich neuem zu öffnen. Nur so kann unsere Gesellschaft wachsen und sich weiterentwickeln. <a href="" den Tellerrand schauen - auf der richtigen Seite der Geschichte kämpfen. ♥",2017-11-21T20:50:36Z,364.0,49.0,,,,,lAlMdoS58j0
1,,"Hanna Engel Wegen der Diskussion über die Einführung eines dritten Geschlechts: dabei geht es eigentlich auch nur um biologische, wirklich körperlich erkennbare Dinge... Bei einer Person würde dann beispielsweise &quot;Inter&quot; (oder wie auch immer das dann genannt wird) im Perso stehen, wenn diese Person tatsächlich intersexuell, also sowohl männliche als auch weibliche Geschlechtsmerkmale aufweist, ja sowas gibts es, bisher wurden solche Menschen oft umoperiert oder eben dem Geschlecht zugeordnet, wovon die Person quasi mehr hatte, also mehr weibliche oder mehr männliche Geschlechtsmerkmale. Es geht nur um biologische, körperliche Merkmale, nicht darum wie eine Person sich fühlt. Also anderes Thema eigentlich, da es ja in dem Video um das soziale Geschlecht / gender geht. Wobei die Person hier bei mir den Eindruck hinterlässt, dass sie selbst das Thema nicht so ganz verstanden hat und ihr vorallem der Unterschied zwischen Gender (sozial, gesellschaftlich) und Geschlecht (biologisch) nicht wirklich klar ist.<br> Meiner Meinung nach ist dieses Gendern eher unnötig und fast schon kontraproduktiv, gerade in einer Zeit, in der man versucht gegen Sexismus und Klischeedenken zu kämpfen. Drückt doch nicht überalle einen Stempel (was im Wortsinne ja quasi nichts andres ist als ein Label) drauf, sondern seid einfach ihr selbst und macht euer Ding ohne dauernd zu versuchen euch vor anderen zu erklären oder zu rechtfertigen)... schönen Tag an alle :)",,,,MikaMallow,"Hanna Engel Wegen der Diskussion über die Einführung eines dritten Geschlechts: dabei geht es eigentlich auch nur um biologische, wirklich körperlich erkennbare Dinge... Bei einer Person würde dann beispielsweise &quot;Inter&quot; (oder wie auch immer das dann genannt wird) im Perso stehen, wenn diese Person tatsächlich intersexuell, also sowohl männliche als auch weibliche Geschlechtsmerkmale aufweist, ja sowas gibts es, bisher wurden solche Menschen oft umoperiert oder eben dem Geschlecht zugeordnet, wovon die Person quasi mehr hatte, also mehr weibliche oder mehr männliche Geschlechtsmerkmale. Es geht nur um biologische, körperliche Merkmale, nicht darum wie eine Person sich fühlt. Also anderes Thema eigentlich, da es ja in dem Video um das soziale Geschlecht / gender geht. Wobei die Person hier bei mir den Eindruck hinterlässt, dass sie selbst das Thema nicht so ganz verstanden hat und ihr vorallem der Unterschied zwischen Gender (sozial, gesellschaftlich) und Geschlecht (biologisch) nicht wirklich klar ist.<br> Meiner Meinung nach ist dieses Gendern eher unnötig und fast schon kontraproduktiv, gerade in einer Zeit, in der man versucht gegen Sexismus und Klischeedenken zu kämpfen. Drückt doch nicht überalle einen Stempel (was im Wortsinne ja quasi nichts andres ist als ein Label) drauf, sondern seid einfach ihr selbst und macht euer Ding ohne dauernd zu versuchen euch vor anderen zu erklären oder zu rechtfertigen)... schönen Tag an alle :)",2017-11-21T21:44:18Z,2017-11-21T21:44:18Z,
2,," [ein schöner Schritt in die richtige Richtung]A  [das hilft vielen Menschen einfach dabei, sich verstanden zu fühlen und Menschen zu finden die sich ähnlich fühlen]A. [ irgendwann jeder sein kann wie er/sie/sieer sein möchte ohne sich rechtfertigen zu müssen]A ",,,,Hanna Engel," [ein schöner Schritt in die richtige Richtung]A  [das hilft vielen Menschen einfach dabei, sich verstanden zu fühlen und Menschen zu finden die sich ähnlich fühlen]A. [ irgendwann jeder sein kann wie er/sie/sieer sein möchte ohne sich rechtfertigen zu müssen]A ",2017-11-21T21:57:01Z,2017-11-21T21:57:01Z,
3,,Ich wundervoller Kommentar! Danke Hanna für deinen Support 😊💕,,,,Auf Klo,Ich wundervoller Kommentar! Danke Hanna für deinen Support 😊💕,2017-11-22T11:24:57Z,2017-11-22T11:24:57Z,
4,,"Hanna Engel bei dem Gesetz geht es aber vor allem um medizinisch intersexuelle Menschen, die vorher Zwangs operiert werden mussten, nicht um &quot;ich hab mir 63 Youtube Videos angeschaut und entschieden dass ich eine andere Identität habe&quot;",,,,Ar Sp,"Hanna Engel bei dem Gesetz geht es aber vor allem um medizinisch intersexuelle Menschen, die vorher Zwangs operiert werden mussten, nicht um &quot;ich hab mir 63 Youtube Videos angeschaut und entschieden dass ich eine andere Identität habe&quot;",2017-11-22T12:05:16Z,2017-11-22T12:05:16Z,
5,,"@Nata. lia über das Thema wurde ja schon gesprochen, ich habe meinen Fehler eingestanden und deutlich gemacht, dass es dennoch auch mit nicht-binären Menschen zu tun hat, da diese Gesetzesänderung unser allgemeines Denken über Geschlechter in Frage stellen würde. Woher hast du denn diese Information mit den &quot;63 YouTube Videos&quot;? Wenn du dir Dinge ausdenken musst, um deine Aussage zu untersützten kann sie ja nicht sehr wahr sein. Anna sagt in dem Video ganz eindeutig, dass sieer dieses Gefühl schon immer im innern hatte, und erst durch den Austausch im Internet einen Namen dafür gefunden hat. <br><br>@Islam is Fascism, Die Biologie ist da alles andere als klar, es ist nicht immer Frau = XX und Mann = XY. Ein Beispiel dafür sind sogenannte &quot;XY-Frauen&quot;, die sämtliche Geschlechtsmerkmale einer Frau haben, und sich in den meisten Fällen auch als solche identifizieren, laut Chromosomensatz sind sie aber männlich. Eine weitere Chromosomenbesonderheit ist die Verteilung XXY. Einige dieser Menschen sind intersexuell, einige sind transsexuell und wieder andere sind cis-gender (= Identität sowie biologisches Geschlecht sind übereinstimmend männlich oder weiblich).<br>Dementsprechend kann man klar davon ausgehen, dass Geschlecht sowie Geschlechtsidentität von weitaus mehr Faktoren abhängen als dem Chromosomensatz.",,,,Hanna Engel,"@Nata. lia über das Thema wurde ja schon gesprochen, ich habe meinen Fehler eingestanden und deutlich gemacht, dass es dennoch auch mit nicht-binären Menschen zu tun hat, da diese Gesetzesänderung unser allgemeines Denken über Geschlechter in Frage stellen würde. Woher hast du denn diese Information mit den &quot;63 YouTube Videos&quot;? Wenn du dir Dinge ausdenken musst, um deine Aussage zu untersützten kann sie ja nicht sehr wahr sein. Anna sagt in dem Video ganz eindeutig, dass sieer dieses Gefühl schon immer im innern hatte, und erst durch den Austausch im Internet einen Namen dafür gefunden hat. <br><br>@Islam is Fascism, Die Biologie ist da alles andere als klar, es ist nicht immer Frau = XX und Mann = XY. Ein Beispiel dafür sind sogenannte &quot;XY-Frauen&quot;, die sämtliche Geschlechtsmerkmale einer Frau haben, und sich in den meisten Fällen auch als solche identifizieren, laut Chromosomensatz sind sie aber männlich. Eine weitere Chromosomenbesonderheit ist die Verteilung XXY. Einige dieser Menschen sind intersexuell, einige sind transsexuell und wieder andere sind cis-gender (= Identität sowie biologisches Geschlecht sind übereinstimmend männlich oder weiblich).<br>Dementsprechend kann man klar davon ausgehen, dass Geschlecht sowie Geschlechtsidentität von weitaus mehr Faktoren abhängen als dem Chromosomensatz.",2017-11-22T16:54:53Z,2017-11-22T16:54:53Z,
6,,"Hanna Engel im letzten Video hat sie das gesagt auf die Frage wie sie es gemerkt hat 😄 nämlich durch Youtube Videos. ich bin auch ein toleranter und empathischer Mensch, aber sie erklärt nirgendwo wie sich ihr gender äußert oder als was sie sich genau fühlt. Da fällt es mir schwer sie als authentisch wahrzunehmen. Ich fühl mich auch manchmal nicht wie eine Frau, dafür ändere ich aber noch lang nicht mein Geschlecht und kritisiere die Gesellschaft. Dafür wäre mir meine Zeit einfach zu schade 😂",,,,Ar Sp,"Hanna Engel im letzten Video hat sie das gesagt auf die Frage wie sie es gemerkt hat 😄 nämlich durch Youtube Videos. ich bin auch ein toleranter und empathischer Mensch, aber sie erklärt nirgendwo wie sich ihr gender äußert oder als was sie sich genau fühlt. Da fällt es mir schwer sie als authentisch wahrzunehmen. Ich fühl mich auch manchmal nicht wie eine Frau, dafür ändere ich aber noch lang nicht mein Geschlecht und kritisiere die Gesellschaft. Dafür wäre mir meine Zeit einfach zu schade 😂",2017-11-22T17:41:05Z,2017-11-22T17:49:21Z,
7,,"Nata. lia, du hast aus &quot;Ich hab mich damit beschäftigt indem ich auch YouTube Videos geguckt habe [...] und hab aber auch gemerkt, &#39;okay das hat irgendwas mit mir gemacht&#39;&quot; - &quot;ich hab mir 63 Youtube Videos angeschaut und entschieden dass ich eine andere Identität habe&quot; gemacht. Den Unterschied merkst du hoffentlich selber. Wo soll sier sich denn sonst darüber informieren? Das letzte Mal hatte ich vor etwa 3 Jahren Sexualkunde als ich noch zur Schule gegangen bin, und da haben wir nichtmal über Homosexualität gesprochen, was ja eigentlich inzwischen sehr normal und alltäglich ist. Sier sagt ja, dass sier das Gefühl schon immer hatte und nicht wusste was es ist. YouTube hat Anna einzig und allein die Möglichkeit gegeben dieses Gefühl einzuordnen und zu akzeptieren.<br><br>Ich könnte auch nicht beschreiben, warum ich mich als Frau fühle, warum also sollten nicht-binäre Menschen da anders sein? Es ist ganz einfach ein Gefühl, deshalb ist es mir auch unverständlich warum es so viele Menschen gibt, die über ein Gefühl diskutieren möchten. Kann man nicht bitte einfach ein offenes Ohr haben und akzeptieren, dass jeder sich am besten mit den eigenen Gefühlen auskennt? Wie gesagt, das tut nich weh, ganz im Gegenteil, man erweitert sogar den eigenen Horizont und verschwendet seine kostbare Zeit nicht mit der Verbreitung von Hass, denn damit ist nun wirklich niemandem geholfen<br><br>Es ist schön, dass du dich offenbar mit dem Geschlecht Frau identifizieren kannst und dich (mehr oder weniger?) damit wohl fühlst. Aber muss es deshalb jedem anderen Menschen auch so gehen? Versuch doch einfach mal dich ein wenig gegenüber anderen Menschen zu öffnen, auch wenn manches dir am Anfang vielleicht nicht ganz verständlich ist. Such mal nach Gemeinsamkeiten statt Unterschieden, wir sind alle Menschen, egal mit welchem Label wir uns wohl fühlen und auch wenn wir ganz darauf verzichten möchten.",,,,Hanna Engel,"Nata. lia, du hast aus &quot;Ich hab mich damit beschäftigt indem ich auch YouTube Videos geguckt habe [...] und hab aber auch gemerkt, &#39;okay das hat irgendwas mit mir gemacht&#39;&quot; - &quot;ich hab mir 63 Youtube Videos angeschaut und entschieden dass ich eine andere Identität habe&quot; gemacht. Den Unterschied merkst du hoffentlich selber. Wo soll sier sich denn sonst darüber informieren? Das letzte Mal hatte ich vor etwa 3 Jahren Sexualkunde als ich noch zur Schule gegangen bin, und da haben wir nichtmal über Homosexualität gesprochen, was ja eigentlich inzwischen sehr normal und alltäglich ist. Sier sagt ja, dass sier das Gefühl schon immer hatte und nicht wusste was es ist. YouTube hat Anna einzig und allein die Möglichkeit gegeben dieses Gefühl einzuordnen und zu akzeptieren.<br><br>Ich könnte auch nicht beschreiben, warum ich mich als Frau fühle, warum also sollten nicht-binäre Menschen da anders sein? Es ist ganz einfach ein Gefühl, deshalb ist es mir auch unverständlich warum es so viele Menschen gibt, die über ein Gefühl diskutieren möchten. Kann man nicht bitte einfach ein offenes Ohr haben und akzeptieren, dass jeder sich am besten mit den eigenen Gefühlen auskennt? Wie gesagt, das tut nich weh, ganz im Gegenteil, man erweitert sogar den eigenen Horizont und verschwendet seine kostbare Zeit nicht mit der Verbreitung von Hass, denn damit ist nun wirklich niemandem geholfen<br><br>Es ist schön, dass du dich offenbar mit dem Geschlecht Frau identifizieren kannst und dich (mehr oder weniger?) damit wohl fühlst. Aber muss es deshalb jedem anderen Menschen auch so gehen? Versuch doch einfach mal dich ein wenig gegenüber anderen Menschen zu öffnen, auch wenn manches dir am Anfang vielleicht nicht ganz verständlich ist. Such mal nach Gemeinsamkeiten statt Unterschieden, wir sind alle Menschen, egal mit welchem Label wir uns wohl fühlen und auch wenn wir ganz darauf verzichten möchten.",2017-11-22T22:40:47Z,2017-11-22T22:43:03Z,
8,,"Ehm nein Menschen die es für nötig halten sich ein Geschlecht auszudenken verdienen meinen Respekt nicht.<br>Ich finde sowas überflüssig,albern,und lächerlich.<br>Dementsprechend habe ich auch nichts als Verachtung und Spott für solche Menschen übrig.",,,,ShadesofP!nk,"Ehm nein Menschen die es für nötig halten sich ein Geschlecht auszudenken verdienen meinen Respekt nicht.<br>Ich finde sowas überflüssig,albern,und lächerlich.<br>Dementsprechend habe ich auch nichts als Verachtung und Spott für solche Menschen übrig.",2017-11-23T10:44:54Z,2017-11-23T10:44:54Z,
9,,"Ich bin ein Gott im Körper eines Menschen,ihr Klosett Penner!Verneigt euch!",,,,derBengel07 !,"Ich bin ein Gott im Körper eines Menschen,ihr Klosett Penner!Verneigt euch!",2017-11-23T11:50:11Z,2017-11-23T11:50:11Z,
